index,bed,bath,acre_lot,zip_code,house_size,price
12517,3,3,0.13,2809,1470,475000
12518,3,3,0.15,2920,1600,499000
12519,3,3,0.7,2816,2380,599000
12520,3,3,0.18,2893,1098,389000
12521,3,3,0.1,2907,1273,250000
12522,3,3,0.11,2818,2472,699900
12523,3,3,0.34,2919,1276,475000
12524,3,3,0.08,2809,2620,650000
12525,3,3,0.13,2904,2952,895000
12526,3,3,0.1,2864,1848,499900
12527,3,3,0.15,2910,1320,269000
12528,3,3,,2908,1536,319900
12529,3,3,0.78,2829,3452,319900
12530,3,3,0.23,2816,1686,469900
12531,3,3,0.35,2818,2300,749900
12532,3,3,0.27,2909,1749,299900
12533,3,3,1.5,2865,1755,649900
12534,3,3,0.4,2904,2393,385000
12535,3,3,0.18,2904,1242,324900
12536,3,3,0.93,2917,5378,325000
12537,3,3,0.48,2919,2700,650000
12538,3,3,,2886,1180,369000
12539,3,3,0.07,2904,1490,219000
12540,3,3,0.79,2917,1683,499000
12541,3,3,0.2,2886,1717,429900
12542,3,3,0.1,2818,1326,749500
12543,3,3,0.33,2908,2724,470000
12544,3,3,0.1,2908,1555,409900
12545,3,3,0.07,2886,1600,429900
12546,3,3,0.11,2905,1500,235000
12547,3,3,0.18,2893,1169,369900
12548,3,3,1,2857,1904,475000
12549,3,3,2.14,2816,1904,499900
12550,3,3,0.04,2818,2824,524900
12551,3,3,0.1,2919,1200,299999
12552,3,3,0.19,2818,1540,469000
12553,3,3,1,2818,2584,794900
12554,3,3,0.51,2921,2026,560000
12555,3,3,0.38,2888,1394,449900
12556,3,3,1.84,2921,3557,799444
12557,3,3,0.18,2921,1558,469999
12558,3,3,0.25,2904,1623,359900
12559,3,3,0.46,2814,1184,469900
12560,3,3,1.84,2832,2048,479900
12561,3,3,1,2919,2268,390000
12562,3,3,1.02,2817,2058,489900
